City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Dijkot,PK,2021-08-11 20:44:35,31.2167,72.9833,92.3,34,0,5.66
262,Pemba,MZ,2021-08-11 20:44:35,-12.974,40.5178,74.1,73,20,11.5
263,Kavieng,PG,2021-08-11 20:44:36,-2.5744,150.7967,82.11,71,10,3.94
264,Staraya Toropa,RU,2021-08-11 20:44:36,56.2801,31.6702,59.38,90,55,2.13
265,Padang,ID,2021-08-11 20:44:37,-0.9492,100.3543,75.85,87,99,3.91
266,Ostrovnoy,RU,2021-08-11 20:44:37,68.0531,39.5131,57.65,83,15,9.89
267,Touros,BR,2021-08-11 20:44:38,-5.1989,-35.4608,77.9,81,15,13.09
268,Denpasar,ID,2021-08-11 20:44:38,-8.65,115.2167,78.46,89,40,16.11
269,Iralaya,HN,2021-08-11 20:44:38,15.0,-83.2333,89.69,70,94,8.81
270,Deputatskiy,RU,2021-08-11 20:44:38,69.3,139.9,58.93,81,100,2.26
271,Kiunga,PG,2021-08-11 20:44:39,-6.1219,141.2906,73.71,97,100,1.97
272,Ancud,CL,2021-08-11 20:44:39,-41.8697,-73.8203,54.93,71,0,3.0
273,Kudahuvadhoo,MV,2021-08-11 20:44:40,2.6708,72.8944,81.66,73,99,10.22
274,Port Macquarie,AU,2021-08-11 20:44:40,-31.4333,152.9167,51.76,64,85,6.35
275,Partyzany,UA,2021-08-11 20:44:41,46.3314,34.7503,75.42,61,97,8.03
276,Souillac,MU,2021-08-11 20:44:41,-20.5167,57.5167,72.36,88,75,9.22
277,Xining,CN,2021-08-11 20:44:42,36.6167,101.7667,56.7,73,100,1.07
278,Teknaf,BD,2021-08-11 20:44:42,20.8624,92.3058,80.26,88,100,8.28
279,Fort-Shevchenko,KZ,2021-08-11 20:44:43,44.5086,50.263,87.24,40,67,4.54
280,Jizan,SA,2021-08-11 20:44:43,17.3333,42.6667,90.54,55,37,3.4
281,Grindavik,IS,2021-08-11 20:44:44,63.8424,-22.4338,54.07,82,75,9.22
282,Coolum Beach,AU,2021-08-11 20:41:04,-26.5333,153.1,56.34,86,72,3.56
283,Mlonggo,ID,2021-08-11 20:44:44,-6.5333,110.7,74.91,74,37,6.62
284,Alto Araguaia,BR,2021-08-11 20:44:45,-17.3147,-53.2153,84.43,21,16,10.54
285,Victoria,HK,2021-08-11 20:41:46,22.2855,114.1577,82.45,90,100,7.54
286,Khonsa,IN,2021-08-11 20:44:45,27.0167,95.5667,69.71,98,99,3.36
287,Zanjan,IR,2021-08-11 20:44:46,36.6736,48.4787,74.64,36,7,4.03
288,Sarkand,KZ,2021-08-11 20:44:46,45.41,79.9186,66.38,42,32,7.63
289,Kupang,ID,2021-08-11 20:44:47,-10.1667,123.5833,77.41,81,11,11.68
