City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Marana,US,84.25,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park
160,Tura,IN,79.11,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
161,Valdosta,US,75.61,scattered clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
169,Dali,CN,73.13,moderate rain,25.7,100.1833,Dali Travelling With Hostel
172,Soyo,AO,71.92,broken clouds,-6.1349,12.3689,Hotel Mpampa
173,Ribeira Grande,PT,73.06,broken clouds,38.5167,-28.7,Quinta da Meia Eira
175,Ascension,US,75.0,clear sky,30.2169,-90.9001,Highland Inn
176,Banda Aceh,ID,84.27,overcast clouds,5.5577,95.3222,Sulthan Hotel International
178,Rincon,US,82.85,few clouds,32.296,-81.2354,Days Inn Rincon
179,Shingu,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
180,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
182,Lagoa,PT,72.86,broken clouds,39.05,-27.9833,Casa Das Faias
183,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
184,Hovd,MN,77.36,overcast clouds,48.0056,91.6419,Hotel Khovd
187,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
190,Kahului,US,78.06,few clouds,20.8947,-156.47,Maui Seaside Hotel
196,Nabire,ID,82.35,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
197,Lethem,GY,73.31,overcast clouds,3.3803,-59.7968,Savannah Inn
198,Buchanan,LR,75.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
199,Caldwell,US,84.81,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
200,Muncar,ID,83.39,broken clouds,-8.4333,114.3333,Zaky Homestay
201,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
203,Marawi,PH,75.65,moderate rain,7.9986,124.2928,Derogongan Residence
206,Biak,ID,82.49,broken clouds,-0.9131,122.8766,Penginapan Kim
207,Arak,IR,87.39,broken clouds,34.0917,49.6892,خانه سازمانهای غیر دولتی استان مرکزی
208,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Todos Santos,MX,82.11,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
210,San Quintin,MX,72.41,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
213,San Policarpo,PH,85.6,overcast clouds,12.1791,125.5072,Manong Aklan Resort
216,Mitsamiouli,KM,77.65,clear sky,-11.3847,43.2844,Foyer ADM
220,Campbell River,CA,74.73,few clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
222,Muroto,JP,80.64,moderate rain,33.2833,134.15,Oota Ryokan
224,Nizhneudinsk,RU,77.52,overcast clouds,54.9076,99.0276,"Gostinitsa, Kafe, Avtomoyka, Avtoservis, Evakuator Magistral'"
230,San Jose De Las Lajas,CU,75.76,clear sky,22.9614,-82.1511,Hostal Spirit
231,Drummondville,CA,74.32,scattered clouds,45.8834,-72.4824,Hôtel et Suites Le Dauphin Drummondville
233,Ovsyanka,RU,74.37,light rain,55.9575,92.5519,Hotel Alsey Krasnoyarsk
235,Vanimo,PG,83.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
236,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
244,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,Scoop Guest House
245,Impfondo,CG,71.15,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
